ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
603986.SH,20250630,128.37,128.5,125.2,126.53,126.34,0.19,0.1504,141433.99,1784229.847
603986.SH,20250701,126.0,126.55,123.51,124.02,126.53,-2.51,-1.9837,142875.87,1781322.637
603986.SH,20250702,123.28,123.3,120.1,120.98,124.02,-3.04,-2.4512,130681.06,1586895.318
603986.SH,20250703,120.58,121.55,119.0,119.72,120.64,-0.92,-0.7626,128590.07,1541698.795
603986.SH,20250704,119.19,120.3,117.51,118.85,119.72,-0.87,-0.7267,141826.95,1683622.173
603986.SH,20250707,118.98,120.81,117.86,120.81,118.85,1.96,1.6491,114584.95,1370153.527
603986.SH,20250708,123.0,123.5,121.01,121.71,120.81,0.9,0.745,151877.86,1854823.191
603986.SH,20250709,120.91,120.99,119.29,119.47,121.71,-2.24,-1.8404,126056.42,1512241.902
603986.SH,20250710,119.02,119.87,118.04,118.06,119.47,-1.41,-1.1802,111583.31,1322615.181
603986.SH,20250711,117.9,119.1,117.37,118.36,118.06,0.3,0.2541,129774.02,1537067.954
603986.SH,20250714,118.61,119.2,117.46,117.59,118.36,-0.77,-0.6506,112791.53,1331566.268
603986.SH,20250715,117.1,117.56,114.0,115.0,117.59,-2.59,-2.2026,236202.59,2718281.579
603986.SH,20250716,115.0,116.4,114.0,114.24,115.0,-0.76,-0.6609,158742.83,1826208.291
603986.SH,20250717,114.05,118.19,113.82,117.99,114.24,3.75,3.2826,241275.42,2805867.152
603986.SH,20250718,117.86,120.3,116.23,117.16,117.99,-0.83,-0.7034,203233.08,2391314.587
603986.SH,20250721,116.82,117.53,115.4,117.11,117.16,-0.05,-0.0427,115943.94,1350683.002
603986.SH,20250722,116.97,117.33,115.8,115.87,117.11,-1.24,-1.0588,143927.33,1672922.189
603986.SH,20250723,115.77,118.36,115.5,116.99,115.87,1.12,0.9666,149110.76,1741699.657
603986.SH,20250724,116.6,118.0,115.14,117.89,116.99,0.9,0.7693,172253.98,2011696.442
603986.SH,20250725,117.9,122.0,117.9,121.94,117.89,4.05,3.4354,356933.76,4286282.667
603986.SH,20250728,122.0,122.2,119.71,120.26,121.94,-1.68,-1.3777,191011.97,2302878.681
603986.SH,20250729,120.0,121.5,119.4,120.28,120.26,0.02,0.0166,169940.65,2042850.877
603986.SH,20250730,124.06,129.67,123.31,123.99,120.28,3.71,3.0845,472987.44,5957278.63
603986.SH,20250731,121.0,126.8,120.28,121.13,123.99,-2.86,-2.3066,308747.73,3788904.668
603986.SH,20250801,120.5,122.1,117.09,117.31,121.13,-3.82,-3.1536,247813.48,2946052.922
603986.SH,20250804,116.3,120.2,116.3,118.84,117.31,1.53,1.3042,160782.64,1902328.181
603986.SH,20250805,119.0,119.3,117.3,118.0,118.84,-0.84,-0.7068,124850.55,1471568.918
603986.SH,20250806,118.0,118.65,117.01,118.28,118.0,0.28,0.2373,114485.67,1349530.061
603986.SH,20250807,117.98,119.2,117.32,117.67,118.28,-0.61,-0.5157,169940.88,2007916.589
603986.SH,20250808,117.68,117.68,116.4,116.4,117.67,-1.27,-1.0793,121513.0,1418055.203
603986.SH,20250811,116.79,118.5,116.48,117.95,116.4,1.55,1.3316,127981.73,1508912.168
603986.SH,20250812,118.31,121.5,117.6,120.47,117.95,2.52,2.1365,252756.18,3025712.891
603986.SH,20250813,120.49,123.0,119.94,121.46,120.47,0.99,0.8218,240986.54,2925464.097
603986.SH,20250814,121.7,125.49,120.55,121.01,121.46,-0.45,-0.3705,314003.25,3865198.49
603986.SH,20250815,120.01,123.5,120.01,122.9,121.01,1.89,1.5619,211500.22,2590294.402
603986.SH,20250818,123.33,127.98,121.51,125.7,122.9,2.8,2.2783,328498.52,4106567.032
603986.SH,20250819,125.48,128.88,122.85,123.26,125.7,-2.44,-1.9411,323175.2,4046363.006
603986.SH,20250820,123.0,127.25,122.01,127.01,123.26,3.75,3.0423,359897.59,4494071.401
603986.SH,20250821,132.09,139.71,132.09,137.16,127.01,10.15,7.9915,858971.49,11832481.427
603986.SH,20250822,135.12,150.88,135.08,150.88,137.16,13.72,10.0029,780790.54,11210984.976
603986.SH,20250825,159.0,163.5,152.88,157.8,150.88,6.92,4.5864,836197.6,13172131.297
603986.SH,20250826,157.8,157.8,152.62,154.4,157.8,-3.4,-2.1546,382253.32,5917649.65
603986.SH,20250827,155.87,168.5,152.18,158.63,154.4,4.23,2.7396,623810.58,10014123.48
603986.SH,20250828,161.0,165.8,159.01,164.45,158.63,5.82,3.6689,494328.31,8027959.133
603986.SH,20250829,161.8,162.0,156.4,158.98,164.45,-5.47,-3.3262,398005.86,6325048.099
603986.SH,20250901,164.11,174.88,157.0,174.88,158.98,15.9,10.0013,612797.12,10223340.506
603986.SH,20250902,179.28,188.0,173.05,176.0,174.88,1.12,0.6404,762852.37,13736024.58
603986.SH,20250903,176.26,177.73,168.55,171.09,176.0,-4.91,-2.7898,441275.98,7587032.736
603986.SH,20250904,169.0,171.07,153.98,153.98,171.09,-17.11,-10.0006,454980.53,7284233.85
603986.SH,20250905,150.0,163.99,145.8,159.56,153.98,5.58,3.6238,699487.7,10700137.153
603986.SH,20250908,161.93,169.0,159.15,163.83,159.56,4.27,2.6761,523714.75,8602671.849
603986.SH,20250909,161.0,162.8,154.62,157.15,163.83,-6.68,-4.0774,327320.34,5191824.525
603986.SH,20250910,157.14,163.25,155.7,161.29,157.15,4.14,2.6344,334656.97,5358368.655
603986.SH,20250911,161.26,177.42,160.0,177.42,161.29,16.13,10.0006,554423.95,9422962.073
603986.SH,20250912,179.99,195.16,177.5,190.21,177.42,12.79,7.2089,710357.04,13432520.618
603986.SH,20250915,193.51,194.5,186.62,190.94,190.21,0.73,0.3838,495483.07,9469855.424
603986.SH,20250916,189.0,196.8,186.89,189.16,190.94,-1.78,-0.9322,408562.21,7810240.314
603986.SH,20250917,188.99,192.58,182.97,186.6,189.16,-2.56,-1.3534,339245.37,6358605.811
603986.SH,20250918,189.39,200.85,186.8,190.88,186.6,4.28,2.2937,590410.52,11381851.203
603986.SH,20250919,194.31,195.88,184.91,185.2,190.88,-5.68,-2.9757,371918.21,7051277.593
603986.SH,20250922,188.88,198.09,186.28,195.01,185.2,9.81,5.297,411977.69,8002507.023
603986.SH,20250923,196.0,201.59,188.69,194.07,195.01,-0.94,-0.482,399945.66,7780830.608
603986.SH,20250924,194.6,208.23,193.0,199.8,194.07,5.73,2.9525,507020.69,10165505.184
603986.SH,20250925,199.0,204.5,193.1,197.41,199.8,-2.39,-1.1962,404275.91,8001322.068
603986.SH,20250926,196.01,206.02,190.21,190.21,197.41,-7.2,-3.6472,435200.85,8650850.074
603986.SH,20250929,196.5,203.63,195.1,197.13,190.21,6.92,3.6381,434877.98,8628937.828
603986.SH,20250930,204.34,216.84,203.0,213.3,197.13,16.17,8.2027,597864.99,12672064.936
603986.SH,20251009,222.0,234.63,218.6,225.49,213.3,12.19,5.715,585389.77,13293421.697
603986.SH,20251010,225.5,230.5,212.12,215.02,225.49,-10.47,-4.6432,443030.98,9636636.022
603986.SH,20251013,201.5,214.9,201.5,207.85,215.02,-7.17,-3.3346,424815.14,8843113.207
603986.SH,20251014,215.45,220.53,193.0,196.0,207.85,-11.85,-5.7012,522017.8,10762183.994
603986.SH,20251015,195.55,202.4,186.41,202.01,196.0,6.01,3.0663,390442.31,7587280.731
603986.SH,20251016,201.44,214.8,198.53,208.13,202.01,6.12,3.0296,458666.18,9577597.463
603986.SH,20251017,208.12,211.5,201.0,201.21,208.13,-6.92,-3.3248,329357.84,6777034.048
603986.SH,20251020,207.73,215.0,203.03,208.35,201.21,7.14,3.5485,367244.06,7696246.687
603986.SH,20251021,211.0,222.0,209.66,219.01,208.35,10.66,5.1164,405117.22,8794154.72
603986.SH,20251022,214.0,214.0,205.3,210.93,219.01,-8.08,-3.6893,371829.52,7766034.297
603986.SH,20251023,205.98,208.1,200.39,206.96,210.93,-3.97,-1.8821,274058.48,5585482.986
603986.SH,20251024,214.0,221.88,212.0,221.08,206.96,14.12,6.8226,450618.12,9805113.356
603986.SH,20251027,230.0,243.19,222.83,243.19,221.08,22.11,10.0009,520916.18,12070372.38
603986.SH,20251028,236.5,254.44,234.58,246.95,243.19,3.76,1.5461,527296.42,12909959.81
603986.SH,20251029,246.96,252.63,236.0,241.15,246.95,-5.8,-2.3487,503744.63,12221563.111
603986.SH,20251030,246.24,247.0,231.78,232.0,241.15,-9.15,-3.7943,433654.43,10345840.392
603986.SH,20251031,231.0,234.68,216.0,220.0,232.0,-12.0,-5.1724,492428.82,10882575.346
603986.SH,20251103,217.0,230.68,216.66,230.1,220.0,10.1,4.5909,462613.49,10367480.649
603986.SH,20251104,231.0,231.22,222.5,224.99,230.1,-5.11,-2.2208,293367.81,6624358.513
603986.SH,20251105,213.0,220.49,210.95,218.39,224.99,-6.6,-2.9335,335131.45,7203205.727
603986.SH,20251106,224.5,228.0,222.25,227.2,218.39,8.81,4.0341,343346.7,7753801.39
603986.SH,20251107,222.68,227.89,219.55,220.95,227.2,-6.25,-2.7509,278989.18,6232949.914
603986.SH,20251110,228.49,231.45,212.5,218.96,220.95,-1.99,-0.9007,385832.23,8553969.468
603986.SH,20251111,223.6,227.01,216.71,216.99,218.96,-1.97,-0.8997,341924.9,7601312.659
603986.SH,20251112,213.0,218.58,207.01,209.5,216.99,-7.49,-3.4518,349523.08,7391713.965
603986.SH,20251113,212.0,230.45,211.88,227.5,209.5,18.0,8.5919,626638.58,14161665.405
603986.SH,20251114,216.0,216.49,205.78,205.78,227.5,-21.72,-9.5473,548633.27,11531317.142
603986.SH,20251117,207.81,214.74,206.36,207.5,205.78,1.72,0.8358,335060.74,7029315.417
603986.SH,20251118,205.28,207.58,201.57,202.5,207.5,-5.0,-2.4096,274378.46,5596610.403
603986.SH,20251119,200.25,205.5,199.03,202.52,202.5,0.02,0.0099,238818.63,4835263.416
603986.SH,20251120,207.5,208.0,198.66,199.1,202.52,-3.42,-1.6887,217605.35,4376548.543
